timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585749972103,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749972334,2,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749972565,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749972796,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749973026,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749973258,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749973488,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749973719,2,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749973949,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749974164,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749974378,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749974592,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749974807,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749975021,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749975235,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749975449,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749975664,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749975878,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749976078,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749976278,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749976479,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749976679,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749976879,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749977079,0,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749977279,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749977478,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
1585749977678,1,JSR223 Sampler,200,OK,Stress-ThreadStarter 1-1,text,true,,0,0,1,1,null,0,0,0
